masood azhar7, 10:05:37:AM, 11-April-2024, 49.71%
dawood ibrahim(5), 10:06:19:AM, 11-April-2024, 42.43%
dawood ibrahim 8, 10:06:30:AM, 11-April-2024, 40.61%
masood azhar5, 10:06:43:AM, 11-April-2024, 42.68%
masood azhar4, 10:06:44:AM, 11-April-2024, 41.56%
dawood ibrahim(5), 10:07:19:AM, 11-April-2024, 40.86%
masood azhar5, 10:07:32:AM, 11-April-2024, 42.44%
dawood ibrahim(5), 10:27:18:AM, 11-April-2024, 46.21%
dawood ibrahim, 10:27:18:AM, 11-April-2024, 77.78%
dawood ibrahim8, 10:27:19:AM, 11-April-2024, 79.21%
dawood ibrahim, 10:27:19:AM, 11-April-2024, 77.90%
dawood ibrahim8, 10:27:19:AM, 11-April-2024, 77.15%
dawood ibrahim8, 10:27:20:AM, 11-April-2024, 78.39%
dawood ibrahim, 10:27:20:AM, 11-April-2024, 74.78%
masood azhar4, 10:27:53:AM, 11-April-2024, 54.73%
masood azhar4, 10:27:53:AM, 11-April-2024, 58.71%
masood azhar4, 10:27:54:AM, 11-April-2024, 55.75%
sajid mir(6), 10:28:15:AM, 11-April-2024, 78.43%
sajid mir(6), 10:28:16:AM, 11-April-2024, 75.16%
sajid mir(6), 10:28:17:AM, 11-April-2024, 74.61%
dawood ibrahim(5), 10:28:29:AM, 11-April-2024, 41.32%
dawood ibrahim(5), 10:28:31:AM, 11-April-2024, 40.23%
sajid mir, 10:28:33:AM, 11-April-2024, 42.16%
dawood ibrahim, 11:22:18:AM, 11-April-2024, 72.64%
dawood ibrahim, 11:22:19:AM, 11-April-2024, 75.32%
dawood ibrahim, 11:22:19:AM, 11-April-2024, 74.24%
dawood ibrahim8, 11:22:20:AM, 11-April-2024, 76.51%
dawood ibrahim8, 11:22:20:AM, 11-April-2024, 76.28%
dawood ibrahim8, 11:22:20:AM, 11-April-2024, 80.53%
dawood ibrahim8, 11:22:21:AM, 11-April-2024, 77.80%
dawood ibrahim8, 11:22:21:AM, 11-April-2024, 76.43%
dawood ibrahim, 11:22:21:AM, 11-April-2024, 76.51%
dawood ibrahim8, 11:22:22:AM, 11-April-2024, 79.15%
dawood ibrahim, 11:22:22:AM, 11-April-2024, 72.34%
dawood ibrahim8, 11:22:23:AM, 11-April-2024, 74.10%
dawood ibrahim, 11:22:23:AM, 11-April-2024, 75.78%
dawood ibrahim, 11:22:23:AM, 11-April-2024, 77.16%
dawood ibrahim, 11:22:24:AM, 11-April-2024, 75.72%
dawood ibrahim, 11:22:29:AM, 11-April-2024, 74.14%
dawood ibrahim8, 11:22:30:AM, 11-April-2024, 79.04%
dawood ibrahim8, 11:22:33:AM, 11-April-2024, 70.99%
dawood ibrahim, 11:22:33:AM, 11-April-2024, 75.07%
dawood ibrahim8, 11:22:33:AM, 11-April-2024, 74.06%
dawood ibrahim, 11:22:34:AM, 11-April-2024, 75.73%
dawood ibrahim8, 11:22:34:AM, 11-April-2024, 74.91%
dawood ibrahim8, 11:22:35:AM, 11-April-2024, 75.48%
dawood ibrahim8, 11:22:35:AM, 11-April-2024, 77.88%
dawood ibrahim8, 11:22:35:AM, 11-April-2024, 77.45%
dawood ibrahim8, 11:22:36:AM, 11-April-2024, 74.66%
dawood ibrahim8, 11:22:36:AM, 11-April-2024, 75.98%
dawood ibrahim8, 11:22:37:AM, 11-April-2024, 70.33%
dawood ibrahim, 11:22:37:AM, 11-April-2024, 72.99%
dawood ibrahim8, 11:22:38:AM, 11-April-2024, 73.14%
dawood ibrahim8, 11:22:39:AM, 11-April-2024, 74.40%
dawood ibrahim8, 11:22:39:AM, 11-April-2024, 71.90%
dawood ibrahim8, 11:22:40:AM, 11-April-2024, 74.23%
dawood ibrahim, 11:22:42:AM, 11-April-2024, 73.88%
dawood ibrahim, 11:22:45:AM, 11-April-2024, 75.85%
dawood ibrahim 8, 11:22:55:AM, 11-April-2024, 42.62%
dawood ibrahim 8, 11:22:56:AM, 11-April-2024, 44.98%
dawood ibrahim 8, 11:22:57:AM, 11-April-2024, 42.16%
masood azhar5, 11:23:00:AM, 11-April-2024, 40.22%
dawood ibrahim(5), 11:23:03:AM, 11-April-2024, 43.12%
dawood ibrahim(5), 11:23:04:AM, 11-April-2024, 41.64%
dawood ibrahim(5), 11:23:05:AM, 11-April-2024, 45.49%
dawood ibrahim(5), 11:23:05:AM, 11-April-2024, 40.37%
dawood ibrahim(5), 11:23:06:AM, 11-April-2024, 42.60%
dawood ibrahim(5), 11:23:06:AM, 11-April-2024, 40.72%
dawood ibrahim 8, 11:23:21:AM, 11-April-2024, 40.49%
dawood ibrahim 8, 11:23:24:AM, 11-April-2024, 40.08%
dawood ibrahim 8, 11:23:24:AM, 11-April-2024, 42.48%
dawood ibrahim 8, 11:23:30:AM, 11-April-2024, 44.51%
dawood ibrahim 8, 11:23:31:AM, 11-April-2024, 42.30%
dawood ibrahim 8, 11:23:31:AM, 11-April-2024, 45.35%
dawood ibrahim 8, 11:23:31:AM, 11-April-2024, 41.16%
dawood ibrahim 8, 11:23:32:AM, 11-April-2024, 40.64%
dawood ibrahim 8, 11:23:32:AM, 11-April-2024, 40.33%
dawood ibrahim 8, 11:23:33:AM, 11-April-2024, 48.29%
dawood ibrahim 8, 11:23:34:AM, 11-April-2024, 45.72%
dawood ibrahim 8, 11:23:34:AM, 11-April-2024, 46.69%
dawood ibrahim 8, 11:23:34:AM, 11-April-2024, 42.20%
dawood ibrahim 8, 11:23:35:AM, 11-April-2024, 40.27%
masood azhar4, 11:23:35:AM, 11-April-2024, 41.26%
dawood ibrahim 8, 11:23:35:AM, 11-April-2024, 41.23%
dawood ibrahim 8, 11:23:36:AM, 11-April-2024, 44.03%
dawood ibrahim 8, 11:23:36:AM, 11-April-2024, 40.12%
masood azhar7, 11:23:36:AM, 11-April-2024, 40.59%
dawood ibrahim 6, 11:23:37:AM, 11-April-2024, 42.24%
dawood ibrahim8, 11:23:39:AM, 11-April-2024, 76.07%
dawood ibrahim8, 11:23:39:AM, 11-April-2024, 76.28%
dawood ibrahim8, 11:23:40:AM, 11-April-2024, 76.16%
dawood ibrahim8, 11:23:45:AM, 11-April-2024, 74.45%
dawood ibrahim, 11:23:46:AM, 11-April-2024, 59.76%
dawood ibrahim8, 11:23:46:AM, 11-April-2024, 70.23%
dawood ibrahim, 11:23:47:AM, 11-April-2024, 76.42%
dawood ibrahim, 11:23:47:AM, 11-April-2024, 64.82%
